anime_id,name,genre,type,episodes,rating,members,genre_set
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,"{'Drama', 'Romance', 'Historical', 'Martial Arts', 'Action', 'Samurai'}"
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,"{'Drama', 'Adventure', 'Action', 'Space', 'Comedy', 'Sci-Fi'}"
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,"{'Parody', 'Supernatural', 'Seinen', 'Action', 'Comedy', 'Sci-Fi', 'Super Power'}"
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,"{'Fantasy', 'Adventure', 'Action'}"
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,"{'Mystery', 'Romance', 'Supernatural', 'School', 'Comedy', 'Sci-Fi'}"
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,"{'Mystery', 'Romance', 'Comedy', 'Supernatural', 'Vampire'}"
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,"{'Mystery', 'Historical', 'Adventure', 'Fantasy', 'Seinen', 'Supernatural', 'Slice of Life'}"
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,"{'Mystery', 'Historical', 'Adventure', 'Fantasy', 'Seinen', 'Supernatural', 'Slice of Life'}"
2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,"{'Adventure', 'Action', 'Mecha', 'Comedy', 'Sci-Fi'}"
245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,"{'Drama', 'Shounen', 'School', 'Comedy', 'Slice of Life'}"
32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865,"{'Drama', 'Fantasy', 'Supernatural', 'Shoujo', 'Slice of Life'}"
5258,Hajime no Ippo: New Challenger,"Comedy, Drama, Shounen, Sports",TV,26,8.75,88995,"{'Drama', 'Shounen', 'Sports', 'Comedy'}"
28957,Mushishi Zoku Shou: Suzu no Shizuku,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Movie,1,8.75,32266,"{'Mystery', 'Historical', 'Adventure', 'Fantasy', 'Seinen', 'Supernatural', 'Slice of Life'}"
11665,Natsume Yuujinchou Shi,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.75,98431,"{'Drama', 'Fantasy', 'Supernatural', 'Shoujo', 'Slice of Life'}"
431,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",Movie,1,8.74,333186,"{'Drama', 'Fantasy', 'Romance', 'Adventure'}"
11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,"{'Fantasy', 'Thriller', 'Supernatural', 'Action'}"
31757,Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural, Vampire",Movie,1,8.73,34347,"{'Mystery', 'Vampire', 'Supernatural', 'Action'}"
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,8.72,247562,"{'Drama', 'Mystery', 'Police', 'Seinen', 'Thriller', 'Horror', 'Psychological'}"
12365,Bakuman. 3rd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.71,133620,"{'Drama', 'Shounen', 'Romance', 'Comedy'}"
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917,"{'Mystery', 'Supernatural', 'Police', 'Thriller', 'Psychological'}"
32366,Gintama°: Aizome Kaori-hen,"Comedy, Parody",OVA,2,8.69,16947,"{'Parody', 'Comedy'}"
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,"{'Comedy', 'School', 'Shounen', 'Action'}"
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,"{'Drama', 'Sports', 'Shounen', 'School', 'Comedy'}"
19647,Hajime no Ippo: Rising,"Comedy, Drama, Shounen, Sports",TV,25,8.68,66756,"{'Drama', 'Shounen', 'Sports', 'Comedy'}"
4282,Kara no Kyoukai 5: Mujun Rasen,"Action, Drama, Mystery, Romance, Supernatural, Thriller",Movie,1,8.68,111074,"{'Drama', 'Mystery', 'Romance', 'Supernatural', 'Thriller', 'Action'}"
10379,Natsume Yuujinchou San,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.67,102322,"{'Drama', 'Fantasy', 'Supernatural', 'Shoujo', 'Slice of Life'}"
22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11,8.67,97187,"{'Seinen', 'Psychological', 'Sports'}"
21329,Mushishi Special: Hihamukage,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.66,49036,"{'Mystery', 'Historical', 'Adventure', 'Fantasy', 'Seinen', 'Supernatural', 'Slice of Life'}"
31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,"{'Mystery', 'Seinen', 'Psychological', 'Supernatural'}"
7785,Yojouhan Shinwa Taikei,"Mystery, Psychological, Romance",TV,11,8.65,122531,"{'Mystery', 'Psychological', 'Romance'}"
3297,Aria The Origination,"Fantasy, Sci-Fi, Shounen, Slice of Life",TV,13,8.64,56162,"{'Shounen', 'Fantasy', 'Slice of Life', 'Sci-Fi'}"
30709,Kamisama Hajimemashita: Kako-hen,"Comedy, Demons, Fantasy, Shoujo, Supernatural",OVA,4,8.64,33422,"{'Comedy', 'Fantasy', 'Supernatural', 'Shoujo', 'Demons'}"
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama, Historical, Seinen, Thriller",TV,26,8.64,139474,"{'Drama', 'Seinen', 'Thriller', 'Historical'}"
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.64,355839,"{'Drama', 'Fantasy', 'Psychological', 'Thriller'}"
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,"Action, Mecha, Sci-Fi, Space, Super Power",Movie,1,8.64,82253,"{'Action', 'Mecha', 'Space', 'Sci-Fi', 'Super Power'}"
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,"{'Drama', 'Fantasy', 'Supernatural', 'Shoujo', 'Slice of Life'}"
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama, Slice of Life, Supernatural",TV,11,8.62,463835,"{'Drama', 'Supernatural', 'Slice of Life'}"
24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25,8.62,184525,"{'Shounen', 'School', 'Sports', 'Comedy'}"
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,"{'Thriller', 'Sci-Fi'}"
10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,"{'Drama', 'Supernatural', 'Romance', 'Shoujo'}"
28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,"{'Shounen', 'Ecchi', 'School'}"
32995,Yuri!!! on Ice,"Comedy, Sports",TV,12,8.61,103178,"{'Sports', 'Comedy'}"
21899,Gintama: Yorinuki Gintama-san on Theater 2D,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,2,8.6,11104,"{'Parody', 'Historical', 'Samurai', 'Action', 'Shounen', 'Comedy', 'Sci-Fi'}"
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,"Action, Adventure, Drama, Shounen, Supernatural",TV,24,8.6,93657,"{'Drama', 'Adventure', 'Supernatural', 'Action', 'Shounen'}"
7472,Gintama Movie: Shinyaku Benizakura-hen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,8.59,51185,"{'Parody', 'Historical', 'Samurai', 'Action', 'Shounen', 'Comedy', 'Sci-Fi'}"
777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,"{'Supernatural', 'Seinen', 'Horror', 'Action', 'Military', 'Vampire'}"
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,"{'Drama', 'Seinen', 'Horror', 'Action', 'Psychological', 'Sci-Fi'}"
28735,Shouwa Genroku Rakugo Shinjuu,"Drama, Historical, Josei",TV,13,8.59,71295,"{'Drama', 'Josei', 'Historical'}"
12431,Uchuu Kyoudai,"Comedy, Sci-Fi, Seinen, Slice of Life, Space",TV,99,8.59,72958,"{'Seinen', 'Space', 'Comedy', 'Slice of Life', 'Sci-Fi'}"
28805,Bakemono no Ko,"Adventure, Supernatural",Movie,1,8.58,80825,"{'Supernatural', 'Adventure'}"
578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878,"{'Drama', 'Historical'}"
16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,"{'Shounen', 'School', 'Sports', 'Comedy'}"
5028,Major S5,"Comedy, Drama, Romance, Sports",TV,25,8.58,28653,"{'Drama', 'Romance', 'Sports', 'Comedy'}"
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,Unknown,8.58,504862,"{'Drama', 'Adventure', 'Fantasy', 'Action', 'Shounen', 'Comedy', 'Super Power'}"
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,"Action, Mecha, Military, Mystery, Police, Sci-Fi, Seinen",TV,26,8.57,113993,"{'Mystery', 'Police', 'Seinen', 'Action', 'Mecha', 'Military', 'Sci-Fi'}"
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,39,8.57,74074,"{'Drama', 'Adventure', 'Supernatural', 'Action', 'Shounen', 'Comedy'}"
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),"Action, Mystery, Romance, Supernatural, Thriller",Movie,1,8.57,95658,"{'Mystery', 'Romance', 'Supernatural', 'Thriller', 'Action'}"
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,"{'Seinen', 'Historical', 'Military', 'Action'}"
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",TV,101,8.56,82570,"{'Drama', 'Sports', 'Shounen', 'School', 'Comedy'}"
10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,"{'Josei', 'Slice of Life'}"
18617,Girls und Panzer der Film,"Military, School",Movie,1,8.55,25641,"{'School', 'Military'}"
32182,Mob Psycho 100,"Action, Comedy, Slice of Life, Supernatural",TV,12,8.55,193716,"{'Comedy', 'Supernatural', 'Slice of Life', 'Action'}"
877,Nana,"Comedy, Drama, Music, Romance, Shoujo, Slice of Life",TV,47,8.55,197256,"{'Drama', 'Romance', 'Comedy', 'Music', 'Shoujo', 'Slice of Life'}"
2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,"{'Mystery', 'Historical', 'Supernatural', 'Seinen', 'Action', 'Comedy'}"
24687,Mushishi Zoku Shou: Odoro no Michi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",Special,1,8.54,34011,"{'Mystery', 'Historical', 'Adventure', 'Fantasy', 'Seinen', 'Supernatural', 'Slice of Life'}"
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229,"{'Drama', 'Fantasy', 'Action', 'Shounen', 'Super Power'}"
10030,Bakuman. 2nd Season,"Comedy, Drama, Romance, Shounen",TV,25,8.53,151561,"{'Drama', 'Shounen', 'Romance', 'Comedy'}"
5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50,8.53,53108,"{'Drama', 'Romance', 'Sports', 'School', 'Comedy'}"
30346,Doukyuusei (Movie),"Romance, School, Shounen Ai, Slice of Life",Movie,1,8.53,28864,"{'Slice of Life', 'School', 'Shounen Ai', 'Romance'}"
3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,"{'Mecha', 'Sci-Fi', 'Action'}"
13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,"{'Drama', 'Mystery', 'Supernatural', 'Horror', 'Sci-Fi'}"
12029,Uchuu Senkan Yamato 2199,"Action, Drama, Military, Sci-Fi, Space",OVA,26,8.53,44223,"{'Drama', 'Action', 'Space', 'Military', 'Sci-Fi'}"
14397,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,86074,"{'Drama', 'Game', 'Josei', 'Sports', 'Slice of Life'}"
10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,"{'Fantasy', 'Supernatural', 'Action'}"
14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26,8.51,190197,"{'Adventure', 'Supernatural', 'Action', 'Shounen', 'Vampire'}"
9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,"{'Drama', 'Psychological', 'Magic', 'Thriller'}"
10165,Nichijou,"Comedy, School, Slice of Life",TV,26,8.52,254436,"{'School', 'Slice of Life', 'Comedy'}"
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,"{'Police', 'Psychological', 'Sci-Fi', 'Action'}"
22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,"{'Slice of Life', 'Comedy'}"
30230,Diamond no Ace: Second Season,"Comedy, School, Shounen, Sports",TV,51,8.5,38531,"{'Shounen', 'School', 'Sports', 'Comedy'}"
18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,"{'Magic', 'Adventure', 'Fantasy', 'Action', 'Shounen'}"
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.5,135735,"{'Drama', 'Psychological', 'Magic', 'Thriller'}"
11917,Major: World Series,"Comedy, Drama, Sports",OVA,2,8.5,13405,"{'Drama', 'Sports', 'Comedy'}"
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,"{'Historical', 'Adventure', 'Samurai', 'Action', 'Shounen', 'Comedy'}"
32282,Shokugeki no Souma: Ni no Sara,"Ecchi, School, Shounen",TV,13,8.5,185015,"{'Shounen', 'Ecchi', 'School'}"
6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12,8.49,207241,"{'Romance', 'Historical', 'Adventure', 'Martial Arts', 'Action'}"
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1,8.49,85361,"{'Drama', 'Psychological', 'Magic', 'Thriller'}"
7655,Major S6,"Comedy, Drama, Sports",TV,25,8.49,24788,"{'Drama', 'Sports', 'Comedy'}"
2246,Mononoke,"Demons, Fantasy, Historical, Horror, Mystery, Seinen, Supernatural",TV,12,8.49,88850,"{'Mystery', 'Historical', 'Fantasy', 'Seinen', 'Supernatural', 'Horror', 'Demons'}"
25835,Shirobako,"Comedy, Drama",TV,24,8.49,146895,"{'Drama', 'Comedy'}"
2921,Ashita no Joe 2,"Drama, Sports",TV,47,8.48,6259,"{'Drama', 'Sports'}"
136,Hunter x Hunter,"Action, Adventure, Shounen, Super Power",TV,62,8.48,166255,"{'Super Power', 'Shounen', 'Adventure', 'Action'}"
30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,"{'Shounen', 'Supernatural', 'Adventure', 'Action'}"
12531,Sakamichi no Apollon,"Drama, Josei, Music, Romance, School",TV,12,8.48,146592,"{'Drama', 'Romance', 'Music', 'Josei', 'School'}"
523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484,"{'Supernatural', 'Adventure', 'Comedy'}"
467,Ghost in the Shell: Stand Alone Complex,"Action, Mecha, Military, Police, Sci-Fi, Seinen",TV,26,8.47,194491,"{'Police', 'Seinen', 'Action', 'Mecha', 'Military', 'Sci-Fi'}"
572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273,"{'Fantasy', 'Adventure'}"
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,602291,"{'Adventure', 'Game', 'Fantasy', 'Supernatural', 'Ecchi', 'Comedy'}"
2559,Romeo no Aoi Sora,"Adventure, Drama, Historical, Slice of Life",TV,33,8.47,15074,"{'Drama', 'Slice of Life', 'Historical', 'Adventure'}"
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,"{'Fantasy', 'Martial Arts', 'Action', 'Shounen', 'School', 'Comedy', 'Demons'}"
486,Kino no Tabi: The Beautiful World,"Action, Adventure, Slice of Life",TV,13,8.46,102822,"{'Slice of Life', 'Adventure', 'Action'}"
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,"{'Shounen', 'School', 'Sports', 'Comedy'}"
1698,Nodame Cantabile,"Comedy, Drama, Josei, Music, Romance, Slice of Life",TV,23,8.46,157025,"{'Drama', 'Romance', 'Music', 'Josei', 'Comedy', 'Slice of Life'}"
5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,"{'Fantasy', 'Romance', 'Historical', 'Adventure'}"
25781,Shingeki no Kyojin: Kuinaki Sentaku,"Action, Fantasy, Shoujo, Supernatural",OVA,2,8.45,92543,"{'Shoujo', 'Fantasy', 'Supernatural', 'Action'}"
10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548,"{'Thriller', 'Sci-Fi'}"
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action, Fantasy, Magic, Shounen, Supernatural",TV,13,8.45,205987,"{'Magic', 'Supernatural', 'Fantasy', 'Action', 'Shounen'}"
5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50,8.45,36751,"{'Drama', 'Fantasy'}"
9260,Kizumonogatari I: Tekketsu-hen,"Mystery, Supernatural, Vampire",Movie,1,8.45,99579,"{'Mystery', 'Supernatural', 'Vampire'}"
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630,"{'Drama', 'Dementia', 'Mecha', 'Psychological', 'Sci-Fi'}"
4224,Toradora!,"Comedy, Romance, School, Slice of Life",TV,25,8.45,633817,"{'School', 'Slice of Life', 'Romance', 'Comedy'}"
2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206,"{'Drama', 'Romance', 'Adventure', 'Sci-Fi'}"
2685,Tsubasa: Tokyo Revelations,"Action, Adventure, Drama, Fantasy, Romance, Shounen",OVA,3,8.44,57963,"{'Drama', 'Romance', 'Adventure', 'Fantasy', 'Action', 'Shounen'}"
31181,Owarimonogatari,"Comedy, Mystery, Supernatural",TV,12,8.43,107855,"{'Mystery', 'Supernatural', 'Comedy'}"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928,"{'Romance', 'Historical', 'Adventure', 'Action', 'Samurai', 'Comedy'}"
2418,Stranger: Mukou Hadan,"Action, Adventure, Historical, Samurai",Movie,1,8.43,125503,"{'Samurai', 'Historical', 'Adventure', 'Action'}"
1365,Detective Conan Movie 06: The Phantom of Baker Street,"Adventure, Mystery, Police, Shounen",Movie,1,8.42,28462,"{'Shounen', 'Mystery', 'Police', 'Adventure'}"
22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,"{'Magic', 'Supernatural', 'Fantasy', 'Action', 'Shounen'}"
627,Major S1,"Comedy, Drama, Shounen, Sports",TV,26,8.42,41061,"{'Drama', 'Shounen', 'Sports', 'Comedy'}"
10937,Mobile Suit Gundam: The Origin,"Action, Mecha, Military, Sci-Fi, Shounen, Space",OVA,6,8.42,15420,"{'Action', 'Shounen', 'Mecha', 'Space', 'Military', 'Sci-Fi'}"
23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,"{'Adventure', 'Fantasy', 'Supernatural', 'Action', 'Shounen', 'Ecchi'}"
4081,Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.42,210736,"{'Drama', 'Fantasy', 'Supernatural', 'Shoujo', 'Slice of Life'}"
4155,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy, Shounen",Movie,1,8.42,85020,"{'Drama', 'Adventure', 'Fantasy', 'Action', 'Shounen', 'Comedy'}"
1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,"{'Mystery', 'Psychological', 'Supernatural', 'Thriller'}"
137,Hunter x Hunter OVA,"Action, Adventure, Shounen, Super Power",OVA,8,8.41,53168,"{'Super Power', 'Shounen', 'Adventure', 'Action'}"
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Shounen, Super Power",OVA,14,8.41,55787,"{'Super Power', 'Shounen', 'Adventure', 'Action'}"
23317,Kuroshitsuji: Book of Murder,"Comedy, Demons, Fantasy, Historical, Mystery, Shounen, Supernatural",OVA,2,8.41,67261,"{'Mystery', 'Historical', 'Fantasy', 'Supernatural', 'Shounen', 'Comedy', 'Demons'}"
558,Major S2,"Comedy, Drama, Shounen, Sports",TV,26,8.41,30689,"{'Drama', 'Shounen', 'Sports', 'Comedy'}"
5040,One Outs,"Psychological, Seinen, Sports",TV,25,8.41,83056,"{'Seinen', 'Psychological', 'Sports'}"
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,8.4,148328,"{'Drama', 'Music', 'Shounen', 'Comedy', 'Slice of Life'}"
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430,"{'Drama', 'Romance', 'Adventure', 'Fantasy', 'Seinen', 'Supernatural', 'Horror', 'Action', 'Military', 'Demons'}"
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636,"{'Drama', 'Mystery', 'Action', 'Space', 'Sci-Fi'}"
1842,Major S3,"Drama, Shounen, Sports",TV,26,8.4,29528,"{'Drama', 'Shounen', 'Sports'}"
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076,"{'Drama', 'Action', 'Mecha', 'Space', 'Military', 'Sci-Fi'}"
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1,8.4,28302,"{'Drama', 'Fantasy', 'Supernatural', 'Shoujo', 'Slice of Life'}"
1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228,"{'Drama', 'Psychological', 'Romance', 'Comedy'}"
338,Rose of Versailles,"Adventure, Drama, Historical, Romance, Shoujo",TV,40,8.4,32188,"{'Drama', 'Romance', 'Historical', 'Adventure', 'Shoujo'}"
